#ARTIST:Busted
#TITLE:Britney
#MP3:Busted - Britney.mp3
#CREATOR:seanie627
#YEAR:2002
#LANGUAGE:English
#BPM:370.07
#GAP:8980
#VIDEO:v=9Y9XZNTaTB0,co=busted-65aa5a4a438d9.jpg,bg=busted-5002a9ba0c232.jpg
#END:186000
: 3616 3 13 to 
: 3620 2 16 get 
: 3624 6 14 clo
: 3632 4 13 ser 
: 3640 1 11 to
: 3642 2 9 ~ 
: 3648 12 9 you 
- 3662
: 3679 1 9 Ah, 
: 3681 3 13 you 
: 3685 2 16 can 
: 3690 6 14 run, 
: 3698 4 13 you 
: 3706 1 11 can’t
: 3708 2 9 ~ 
: 3714 10 9 hide 
- 3726
: 3730 4 9 I’ll 
: 3737 6 13 make 
: 3745 4 16 you 
: 3753 6 16 feel 
: 3762 6 16 good 
: 3770 4 13 in
: 3778 1 18 side 
- 3780
: 3780 4 4 I 
: 3787 7 16 want
: 3795 4 13 ~ 
: 3802 12 11 you, 
: 3818 7 11 Bri
: 3826 4 9 ~ 
: 3835 7 9 te
: 3843 4 2 ~ 
: 3851 14 2 ney
: 3867 7 13 ~ 
: 3875 3 11 ~ 
: 3879 3 13 ~ 
: 3883 14 11 ~ 
- 3899
: 3908 4 4 I 
: 3916 12 16 need 
: 3932 7 12 you
: 3940 4 11 ~ 
: 3948 7 11 here
: 3956 4 9 ~ 
: 3964 12 9 with 
* 3997 10 2 me 
- 4009
: 4038 4 4 You 
: 4047 12 14 know 
: 4063 7 13 that
: 4071 4 11 ~ 
: 4079 7 11 I
: 4087 4 9 ~ 
: 4095 10 9 won’t 
* 4111 12 14 stop 
: 4128 7 13 un
: 4136 4 11 ~ 
: 4144 5 11 til
: 4150 4 9 ~ 
: 4160 4 9 I’ve 
: 4168 4 13 got 
: 4176 3 9 you
: 4180 12 11 ~ 
- 4194
: 4232 4 9 I 
: 4240 7 9 want
: 4248 4 4 ~ 
: 4256 12 4 you, 
: 4272 7 13 Bri
: 4280 4 11 ~ 
: 4288 7 11 te
: 4296 4 9 ~ 
* 4306 18 9 ney 
E
