#ARTIST:The Gaslight Anthem
#TITLE:Blue Dahlia
#MP3:The Gaslight Anthem - Blue Dahlia.mp3
#CREATOR:juhuu
#YEAR:2012
#LANGUAGE:English
#BPM:336.2
#GAP:26170
#VIDEO:a=_DuFXs7EOTE,co=handwritten-5af313027770b.jpg,bg=gaslight-anthem-the-4fe0e468d6454.jpg
* 4846 17 10 bout 
: 4864 5 7 me
: 4870 7 5 ~
: 4878 21 3 ~. 
- 4899
* 4900 7 3 Oh 
* 4908 7 5 oh 
* 4916 16 3 oh 
- 4942
: 4960 5 3 Come 
: 4966 9 5 see 
: 4976 3 3 a
* 4980 15 10 bout 
* 4996 5 7 me
* 5002 5 5 ~
* 5008 22 3 ~. 
- 5030
* 5032 3 3 Oh 
* 5036 13 7 oh 
* 5050 22 5 oh 
- 5084
: 5088 5 3 When
: 5094 5 7 e
: 5100 5 7 ver 
: 5106 5 5 you’re 
: 5112 13 5 lone
: 5126 22 3 ly 
E
