#ARTIST:Hilltop Hoods feat. Adrian Eagle
#TITLE:Clark Griswold
#MP3:Hilltop Hoods feat. Adrian Eagle - Clark Griswold.mp3
#CREATOR:DoubleDee
#COVER:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [CO].jpg
#BACKGROUND:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [BG].jpg
#YEAR:2018
#LANGUAGE:English
#BPM:384
#GAP:10510
#VIDEO:v=3_XVw0235gY,co=https://pbs.twimg.com/media/Dh8OAoLU8AArmKB.jpg,bg=hilltop-hoods-55ee7ba60b70e.jpg,preview=75.54,medley=504-2168
: 3664 7 12 ~
: 3672 12 3 ~ 
- 3686
: 3688 3 3 On 
: 3692 3 3 my 
: 3696 4 3 way 
: 3704 15 5 ho
: 3720 5 3 ~me 
- 3735
: 3748 3 8 I’m 
: 3752 3 8 on 
: 3756 2 8 my 
: 3760 6 8 way 
: 3768 7 10 ho
: 3776 11 12 ~me 
- 3790
* 3792 5 8 Clark 
* 3800 5 10 Gris
* 3808 6 12 wold, 
: 3816 3 8 here 
: 3820 4 5 I 
: 3828 1 5 go 
- 3830
: 3832 3 20 Oh
: 3836 5 17 ~ 
- 3892
* 3960 8 15 Life 
* 3976 10 13 can 
* 3992 1 12 be
* 3994 9 10 ~ 
: 4008 3 8 so
: 4012 4 10 ~ 
: 4020 3 10 beau
: 4024 7 12 ti
: 4032 7 10 ful
: 4040 3 12 ~
: 4044 2 10 ~ 
- 4056
: 4064 3 3 But 
: 4072 6 3 some
: 4080 16 15 times 
: 4104 4 13 I 
: 4112 2 12 fee
: 4115 10 10 ~l 
: 4128 6 8 I 
: 4136 4 8 make 
: 4144 4 8 a 
: 4152 4 10 mess 
: 4160 3 12 of 
: 4164 12 10 things 
- 4186
: 4216 8 15 Life 
: 4232 10 13 can 
: 4248 1 12 be
: 4250 9 10 ~ 
: 4264 3 8 so
: 4268 4 10 ~ 
: 4276 3 10 beau
: 4280 7 12 ti
: 4288 11 10 ful 
- 4309
: 4320 3 8 But 
* 4328 6 3 some
* 4336 16 15 times 
: 4360 4 13 I 
: 4368 2 12 fee
: 4371 10 10 ~l 
: 4384 6 8 I 
: 4392 4 8 make 
: 4400 4 8 a 
: 4408 4 10 mess 
: 4416 3 12 of 
: 4420 6 10 eve
: 4427 4 8 ry
: 4432 12 5 thing 
- 4454
: 4472 8 15 Life 
: 4488 10 13 can 
: 4504 1 12 be
: 4506 9 10 ~ 
: 4520 3 8 so
: 4524 4 10 ~ 
: 4532 3 10 beau
: 4536 7 12 ti
: 4544 7 10 ful
: 4552 3 12 ~
: 4556 2 10 ~ 
- 4568
: 4576 3 3 But 
: 4584 6 3 some
: 4592 16 15 times 
: 4616 4 13 I 
: 4624 2 12 fee
: 4627 10 10 ~l 
: 4640 6 8 I 
: 4648 4 8 make 
: 4656 4 8 a 
: 4664 4 10 mess 
: 4672 3 12 of 
: 4676 12 10 things 
- 4698
: 4728 8 15 Life 
: 4744 10 13 can 
: 4760 1 12 be
: 4762 9 10 ~ 
: 4776 3 8 so
: 4780 4 10 ~ 
: 4788 3 10 beau
: 4792 7 12 ti
: 4800 11 10 ful 
- 4821
: 4832 3 8 But 
: 4840 6 8 some
: 4848 16 15 times 
: 4872 4 13 I 
: 4880 2 12 fee
: 4883 10 10 ~l 
: 4896 6 8 I 
: 4904 4 8 make 
: 4912 4 8 a 
: 4920 4 10 mess 
: 4928 3 12 of 
: 4932 6 10 eve
: 4939 4 8 ry
: 4944 17 5 thing 
- 4972
: 4976 3 20 Ow
: 4980 4 17 ~! 
* 4992 31 20 Ooh
: 5024 3 19 ~
: 5028 2 15 ~ 
- 5081
: 5192 11 20 Ow
: 5204 2 17 ~! 
- 5257
: 5412 3 8 I’m 
: 5416 3 8 on 
: 5420 2 8 my 
: 5424 6 8 way 
* 5432 11 10 ho
* 5444 7 12 ~me 
- 5454
: 5456 5 8 Clark 
: 5464 5 10 Gris
: 5472 6 12 wold, 
: 5480 3 8 here 
: 5484 4 5 I 
: 5492 3 5 go 
E
