#ARTIST:Eminem
#TITLE:Rap God
#MP3:Eminem - Rap God.mp3
#CREATOR:UnisusJr
#YEAR:2013
#LANGUAGE:English
#BPM:600
#GAP:1140
#VIDEO:v=XbGs_qK2PQA,co=rap-god-5794175889b95.jpg,bg=eminem-5e80e3fc39802.jpg,tags=explicit
#END:362000
: 5520 5 18 boy 
- 5529
: 5531 4 26 You 
: 5536 2 26 wit
: 5539 3 26 nes
: 5543 4 26 sing 
: 5548 2 26 a 
: 5551 6 26 mas
: 5558 8 24 sa
: 5567 7 26 cre 
- 5575
: 5577 2 24 Like 
: 5580 2 24 you 
: 5583 7 26 wat
: 5591 3 26 ching 
- 5594
: 5595 3 26 A 
: 5599 8 24 church 
: 5608 7 26 ga
: 5616 4 26 the
: 5621 3 26 ring 
: 5625 9 24 take 
: 5635 7 26 place, 
: 5643 3 22 loo
: 5647 3 22 king 
: 5651 6 18 boy 
- 5667
: 5684 8 36 Oy 
: 5693 11 38 vey, 
: 5705 5 36 that 
: 5711 15 31 boy’s 
: 5727 10 31 gay, 
: 5738 7 34 that’s 
: 5746 5 33 all 
: 5752 4 34 they 
: 5757 9 36 say 
: 5767 4 34 loo
: 5772 4 29 king, 
: 5777 12 31 boy 
- 5790
: 5792 2 38 You 
: 5795 3 36 get 
: 5799 1 36 a 
: 5802 8 36 thumbs 
: 5811 5 38 up, 
: 5817 9 38 pat 
: 5827 2 36 on 
: 5830 2 36 the 
: 5833 10 38 back 
- 5843
: 5844 2 36 And 
: 5847 2 36 a 
: 5850 5 36 way 
: 5856 2 36 to 
: 5859 3 38 go 
: 5864 4 36 from 
: 5869 3 36 your 
: 5873 6 38 la
: 5880 3 36 bel 
: 5884 1 36 e
: 5886 5 36 very
: 5892 6 38 day 
: 5899 4 34 loo
: 5904 4 34 king, 
: 5909 10 31 boy 
- 5922
: 5924 6 38 Hey, 
: 5931 3 34 loo
: 5935 3 34 kin’ 
: 5939 8 31 boy, 
: 5948 4 39 what 
: 5953 2 38 you 
: 5956 7 38 say 
: 5964 4 38 loo
: 5969 3 39 king 
: 5973 8 41 boy 
- 5984
: 5986 2 36 I 
: 5989 3 36 get 
: 5993 2 38 a 
: 5996 5 36 “hell 
: 6002 8 38 yeah” 
: 6011 7 36 from 
: 6019 9 38 Dre 
: 6029 3 34 loo
: 6033 4 34 king, 
: 6038 10 36 boy 
- 6054
: 6056 5 36 I’ma 
: 6062 7 36 work 
: 6070 4 38 for 
: 6075 6 36 e
: 6082 3 36 very
: 6086 5 36 thing 
: 6092 2 36 I 
: 6095 7 38 have 
- 6102
: 6104 1 36 Ne
: 6106 3 36 ver 
: 6110 7 36 ask 
: 6118 3 38 no
: 6122 3 36 bo
: 6126 3 36 dy 
: 6130 2 36 for 
: 6133 5 41 shit, 
: 6139 4 36 get 
: 6144 1 36 out
: 6146 1 36 ta 
: 6148 2 36 my 
: 6152 6 38 face 
: 6160 3 34 loo
: 6164 3 34 king 
: 6168 10 36 boy 
- 6182
: 6184 3 26 Ba
: 6188 3 22 si
: 6192 6 22 cally 
: 6199 8 24 boy 
: 6210 3 22 you’re 
: 6214 1 24 ne
: 6216 2 22 ver 
: 6220 1 22 gon
: 6222 2 22 na 
: 6226 3 22 be 
: 6230 7 24 ca
: 6238 3 22 pa
: 6242 3 22 ble 
- 6246
: 6248 3 22 To 
: 6252 3 22 kee
: 6256 4 24 ping 
: 6261 3 22 up 
: 6265 4 22 with 
: 6270 2 22 the 
: 6273 6 22 same 
: 6280 9 26 pace 
: 6290 3 22 loo
: 6294 3 22 king, 
: 6298 7 24 boy 
- 6308
: 6310 3 38 ’Cause 
: 6314 6 38 I’m 
: 6321 6 38 be
: 6328 8 41 gin
: 6337 8 39 ning 
: 6346 4 38 to 
: 6351 8 38 feel 
: 6361 8 36 like 
: 6370 4 38 a 
: 6377 11 38 Rap 
: 6392 13 31 God, 
: 6407 12 38 Rap 
: 6425 16 31 God 
- 6442
: 6444 4 36 All 
: 6449 7 38 my 
: 6457 8 41 peo
: 6466 5 39 ple 
: 6472 5 38 from 
: 6478 2 38 the 
: 6482 10 38 front 
: 6493 6 36 to 
: 6500 6 38 the 
: 6507 15 38 back 
: 6524 12 31 nod, 
: 6542 10 38 back 
: 6554 8 31 nod 
- 6562
: 6563 3 38 The 
: 6567 6 38 way 
: 6575 4 38 I’m 
: 6581 4 41 ra
: 6586 5 36 cing 
: 6592 1 36 a
: 6594 10 36 round 
: 6605 4 38 the 
: 6610 11 38 track, 
: 6622 6 36 call 
: 6629 4 38 me 
: 6634 14 38 Nas
: 6651 9 31 car, 
: 6666 14 38 Nas
: 6684 9 31 car 
- 6693
: 6694 9 38 Dale 
: 6704 3 34 Earn
: 6708 5 34 hardt 
: 6714 3 33 of 
: 6719 5 33 the 
: 6725 10 34 trai
: 6736 7 33 ler 
: 6744 8 33 park, 
: 6753 4 31 the 
: 6758 7 33 White 
: 6766 15 33 Trash 
: 6784 13 26 God 
- 6798
: 6800 7 38 Kneel 
: 6808 6 34 be
: 6815 7 33 fore 
: 6823 5 31 Ge
: 6829 2 29 ne
: 6832 5 31 ral 
: 6838 11 31 Zod 
: 6850 5 29 this 
: 6856 8 31 pla
: 6865 6 31 net’s 
: 6872 7 27 Kryp
: 6880 9 26 ton, 
- 6889
: 6890 6 36 No 
: 6898 12 38 As
: 6914 14 26 gard, 
: 6930 12 38 As
: 6944 8 26 gard 
- 6952
: 6953 5 24 So 
: 6959 9 26 you 
: 6969 5 22 be 
: 6975 12 19 Thor 
: 6989 5 26 and 
: 6996 7 26 I’ll 
: 7004 4 22 be 
: 7009 10 19 O
: 7020 13 19 din, 
- 7033
: 7034 1 21 You 
: 7036 5 21 ro
: 7042 5 21 dent, 
: 7048 10 22 I’m 
: 7059 8 26 om
: 7068 4 24 ni
: 7073 9 26 po
: 7083 9 26 tent 
- 7100
: 7103 5 24 Let 
: 7109 8 22 off 
: 7118 6 22 then 
: 7125 6 24 I’m 
: 7132 5 22 re
: 7138 12 24 loa
: 7151 4 24 d’n 
- 7155
: 7156 5 22 Im
: 7162 4 24 me
: 7167 1 24 di
: 7169 2 22 ate
: 7172 6 24 ly 
: 7179 4 24 with 
: 7184 2 22 these 
: 7187 12 24 bombs 
: 7200 5 22 I’m 
: 7206 8 22 to
: 7215 8 19 t’n 
- 7233
: 7237 2 24 And 
: 7240 3 24 I 
: 7245 7 22 should 
: 7253 10 24 not 
: 7264 5 22 be 
: 7270 8 22 wo
: 7279 7 19 ken, 
- 7291
: 7293 4 22 I’m 
: 7298 4 22 the 
: 7303 7 24 wal
: 7311 6 22 king 
: 7318 9 24 dead, 
: 7328 2 22 but 
: 7331 4 22 I’m 
: 7336 7 24 just 
: 7344 5 22 a 
: 7350 8 24 tal
: 7359 6 22 king 
: 7366 10 26 head 
- 7376
: 7378 3 22 A 
: 7382 11 26 zom
: 7394 3 22 bie 
: 7399 10 22 floa
: 7410 5 19 t’n, 
- 7423
: 7426 2 31 But 
: 7429 3 31 I 
: 7433 7 33 got 
: 7441 6 34 your 
: 7448 8 36 mom 
: 7457 6 38 deep 
: 7464 11 39 throa
: 7476 5 31 t’n 
- 7488
: 7491 5 22 I’m 
: 7497 8 24 out 
: 7506 6 22 my 
: 7513 9 26 ra
: 7523 6 22 men 
: 7530 9 22 noo
: 7540 3 19 dle, 
- 7544
: 7546 4 22 We 
: 7551 5 22 have 
: 7557 7 27 no
: 7565 5 26 thing 
: 7571 3 22 in 
: 7575 11 26 com
: 7587 4 22 mon, 
: 7592 11 22 poo
: 7604 5 19 dle 
- 7611
: 7613 2 22 I’m 
: 7616 4 22 a 
: 7621 6 24 do
: 7628 6 27 ber
: 7635 6 26 man, 
: 7642 9 34 pinch 
: 7652 4 31 your
: 7657 10 31 self 
: 7668 7 26 in 
: 7678 5 22 the 
: 7684 8 24 arm 
- 7692
: 7693 8 26 And 
: 7702 5 26 pay 
: 7708 10 26 ho
: 7719 6 22 mage, 
: 7726 10 22 pu
